,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
11.jpg,59.16,59.39,87.13,58.75,54.99,55.14,57.68,67.64,42.33,33.51,0,61.61,54.13,53.8,55.33,68.28,53.35,63.16,60,64.32,64.37,56.05,68.18,57.5,57.67,49.45,46.49,52.45,57.51,57.38,70.58,74.2,70.08,49.22,68.76,64.03,51.68,53.33,75.27,60.62
12.jpg,71.09,70.55,79.8,50.79,60.6,55.66,65.41,72.08,60.17,56.88,61.61,0,35.35,29.43,30.98,62.4,49.16,57.45,60.88,65.41,67.17,54.93,69.95,58.72,59.17,50.14,46.17,50.43,55.56,52.95,61.81,64.61,61.52,52.11,68,58.3,44.62,36.79,64.62,46.35
13.jpg,60.79,61.13,81.1,51.95,52.46,49.79,58.39,63.66,61.39,50.12,54.13,35.35,0,22.15,22.5,47.73,36.78,47.13,54.07,54.4,56.04,45.63,61.66,50.16,50.23,42.99,32.69,38.21,44.35,46.89,57.78,56.54,57.53,42.29,57.59,53.5,39.69,39.19,57.9,40.48
14.jpg,62.54,61.97,74.95,49.3,48.62,47.44,56.06,63.73,60.18,50.2,53.8,29.43,22.15,0,17.46,47.41,36.19,44.69,54.99,55.49,57.21,46.28,59.69,48.88,49.56,40.81,34.98,38.66,44.49,45.89,57.81,57.91,55.68,42.54,58.16,49.01,36.65,34.03,59.84,42.04
15.jpg,63.58,63.41,77.66,49.54,51.21,47.51,55.09,63.39,62.2,51.36,55.33,30.98,22.5,17.46,0,47.16,36.5,44.39,53.99,54.77,57.44,47.04,59.72,46.88,49.93,41.35,35.04,39.82,43.62,47.17,55.4,55.35,53.81,42.79,59.68,47.33,35.26,34.74,58.31,38.27
16.jpg,74.56,74.85,89.35,64.42,63.63,62.33,66.34,77.21,75.89,64.8,68.28,62.4,47.73,47.41,47.16,0,31.32,38.55,63.51,63.2,66.99,58.42,71.74,62.72,63.23,54.82,45.37,49.9,52.81,63.79,68.66,72.74,77.58,57.83,73.6,70.65,53.55,53.7,73.71,60.79
17.jpg,60.59,60.76,79.07,52.17,46.95,49.28,55.18,64.03,64.32,51.17,53.35,49.16,36.78,36.19,36.5,31.32,0,28.6,53.28,53.89,55.34,44.11,59.38,49.38,49.45,41.52,32.45,37.56,42.41,50.87,59.26,59.59,65.49,45.75,58.91,60.43,47.19,42.11,61.01,50.22
18.jpg,71.4,70.91,88.63,60.31,59.17,58.26,63.93,72.94,72.82,62.29,63.16,57.45,47.13,44.69,44.39,38.55,28.6,0,63.03,64.2,65.5,54.71,69.36,57.33,58.87,49.79,42.05,47.19,52.29,60.42,69.55,69.85,74.95,55.03,68.48,69.51,51.74,51.43,69.45,58.06
19.jpeg,46.17,47.7,91.63,64.22,62.12,61.54,62.27,65.65,67.64,57.17,60,60.88,54.07,54.99,53.99,63.51,53.28,63.03,0,30.55,35.61,46.87,68.12,59.25,58.42,52.68,41.24,42.66,50.66,60.91,71.57,69.12,70.05,53.34,67.15,64.8,54.71,48,72.66,57.82
20.jpg,43.55,41.43,89.35,63.88,64.77,63.41,61.9,72.37,75.5,60.58,64.32,65.41,54.4,55.49,54.77,63.2,53.89,64.2,30.55,0,34.84,44.21,69.34,62.06,58.9,53.41,42.94,49.06,51.38,60.42,68.85,71.68,72.19,53.6,69.48,67.17,54.67,54.39,73.78,59.64
21.jpg,49.59,45.34,91.38,66.18,65.04,60.6,65.93,71.66,75.62,62.37,64.37,67.17,56.04,57.21,57.44,66.99,55.34,65.5,35.61,34.84,0,39.26,72,62.47,61.06,55.69,43.7,50.09,53.27,63.09,75.32,73.19,74.69,55.69,66.57,69.72,59.48,55.51,75.95,62.72
22.jpg,56.91,56.57,86.4,57.56,53.26,55.05,59.61,64.91,66.83,54.27,56.05,54.93,45.63,46.28,47.04,58.42,44.11,54.71,46.87,44.21,39.26,0,62.13,51.64,53.45,45.51,36,40.29,45.17,53.43,66.66,63.92,65.92,47.91,60.3,60.4,48.75,44.72,65.68,52.62
23.jpg,79.66,78.29,92.82,66.21,62.77,61.92,64.96,69.51,79.18,62.25,68.18,69.95,61.66,59.69,59.72,71.74,59.38,69.36,68.12,69.34,72,62.13,0,39.41,53.58,45.42,53.55,58.33,60.62,66.88,79.37,79.65,79.28,58.77,71.23,76.15,61.58,59.03,78.06,64.63
24.jpg,69.93,69.54,75.62,52.24,53.73,45.03,48.64,62.42,66.49,56.09,57.5,58.72,50.16,48.88,46.88,62.72,49.38,57.33,59.25,62.06,62.47,51.64,39.41,0,39.96,32.3,42.96,47.58,51.8,57.85,67.87,66.62,69.02,50.04,59.73,63.34,49.66,46.98,67.29,55.52
25.jpg,67.77,67.36,72,54.66,53.16,47.5,53.02,62.52,69.23,56.35,57.67,59.17,50.23,49.56,49.93,63.23,49.45,58.87,58.42,58.9,61.06,53.45,53.58,39.96,0,24.24,43.34,47.92,51.55,58.34,69.17,70.37,70.4,51.7,63.93,67.18,51.47,49.18,69.99,55.03
26.jpg,60.08,59,70.95,44.69,44.52,42.39,44.76,53.85,59.49,49.08,49.45,50.14,42.99,40.81,41.35,54.82,41.52,49.79,52.68,53.41,55.69,45.51,45.42,32.3,24.24,0,35.25,39.59,43.5,50.78,61.2,63.14,63.31,44.26,56.87,58.94,40.7,39.02,60.77,46.01
27.jpg,48.03,48.27,69.32,43.92,40.81,40.68,46.08,54.16,59.24,47.01,46.49,46.17,32.69,34.98,35.04,45.37,32.45,42.05,41.24,42.94,43.7,36,53.55,42.96,43.34,35.25,0,16.07,27.12,42.71,55.54,55.47,56.9,37.51,51.15,51.18,38.8,36.9,58,44.37
28.jpeg,53.69,53.13,76.87,48.31,46.66,46.52,51.17,59.5,63.81,51.07,52.45,50.43,38.21,38.66,39.82,49.9,37.56,47.19,42.66,49.06,50.09,40.29,58.33,47.58,47.92,39.59,16.07,0,25.02,46.86,58.32,57.37,60.21,42.51,55.48,55.42,45.67,41.48,62.26,49.72
29.jpg,58.89,58.35,82.56,56.14,52.71,53.51,56.65,66.35,68.9,56.08,57.51,55.56,44.35,44.49,43.62,52.81,42.41,52.29,50.66,51.38,53.27,45.17,60.62,51.8,51.55,43.5,27.12,25.02,0,52.21,60.64,62.4,59.62,45.58,60.45,60.42,47.79,46.28,67.21,50.6
30.jpg,57.26,57.16,77.16,55.48,61.27,56.55,65.68,72.37,66.14,52.8,57.38,52.95,46.89,45.89,47.17,63.79,50.87,60.42,60.91,60.42,63.09,53.43,66.88,57.85,58.34,50.78,42.71,46.86,52.21,0,47.18,46.93,40.35,28.58,51.33,41.85,45.34,46.82,54.87,53.88
31.jpg,75.27,75.43,93.72,68.81,72.08,66.58,73.47,81.19,74.15,64.18,70.58,61.81,57.78,57.81,55.4,68.66,59.26,69.55,71.57,68.85,75.32,66.66,79.37,67.87,69.17,61.2,55.54,58.32,60.64,47.18,0,46.36,44.34,38.98,62.07,48.42,52.41,57.94,49.25,61.21
32.jpeg,71.35,71.13,99.35,71.63,73.29,70.48,78.35,77.79,73.43,61.61,74.2,64.61,56.54,57.91,55.35,72.74,59.59,69.85,69.12,71.68,73.19,63.92,79.65,66.62,70.37,63.14,55.47,57.37,62.4,46.93,46.36,0,46.29,42.73,66.06,52.55,54.88,55.4,38.47,60.16
33.jpg,62.51,65.01,98.31,71.09,74.18,69.34,78.99,83.99,65.76,62.48,70.08,61.52,57.53,55.68,53.81,77.58,65.49,74.95,70.05,72.19,74.69,65.92,79.28,69.02,70.4,63.31,56.9,60.21,59.62,40.35,44.34,46.29,0,35.82,65.42,40.52,54.46,55.89,51.88,61.15
34.jpg,52.01,53.02,80.6,53.06,55.04,51.59,59.48,59.44,55.28,41.11,49.22,52.11,42.29,42.54,42.79,57.83,45.75,55.03,53.34,53.6,55.69,47.91,58.77,50.04,51.7,44.26,37.51,42.51,45.58,28.58,38.98,42.73,35.82,0,45.77,33.92,42.33,43.22,48.23,48.18
35.jpg,72.08,73.45,93.54,70.02,69.11,60.57,73.13,76.07,80.26,67.85,68.76,68,57.59,58.16,59.68,73.6,58.91,68.48,67.15,69.48,66.57,60.3,71.23,59.73,63.93,56.87,51.15,55.48,60.45,51.33,62.07,66.06,65.42,45.77,0,64.9,59.04,58.24,72.46,66.72
36.jpg,65.73,64.61,94.12,64.87,70.35,64.93,74.93,81.44,69.39,56.41,64.03,58.3,53.5,49.01,47.33,70.65,60.43,69.51,64.8,67.17,69.72,60.4,76.15,63.34,67.18,58.94,51.18,55.42,60.42,41.85,48.42,52.55,40.52,33.92,64.9,0,52.17,49.53,55.07,57.36
37.jpg,61.5,61.8,74.98,48.56,53.06,47.36,53.09,64.79,60.21,52.55,51.68,44.62,39.69,36.65,35.26,53.55,47.19,51.74,54.71,54.67,59.48,48.75,61.58,49.66,51.47,40.7,38.8,45.67,47.79,45.34,52.41,54.88,54.46,42.33,59.04,52.17,0,27.88,60.6,33.55
38.jpg,59.43,58.71,77.78,49.02,50.88,45.26,53.62,61.92,53.38,49.28,53.33,36.79,39.19,34.03,34.74,53.7,42.11,51.43,48,54.39,55.51,44.72,59.03,46.98,49.18,39.02,36.9,41.48,46.28,46.82,57.94,55.4,55.89,43.22,58.24,49.53,27.88,0,57.03,31.2
39.jpg,78.22,76.37,100,71.55,73.08,70.67,75.84,77.83,76.63,61.35,75.27,64.62,57.9,59.84,58.31,73.71,61.01,69.45,72.66,73.78,75.95,65.68,78.06,67.29,69.99,60.77,58,62.26,67.21,54.87,49.25,38.47,51.88,48.23,72.46,55.07,60.6,57.03,0,63.11
40.jpeg,64.13,67.31,77.44,50.98,57.34,53.71,59.62,67.38,69.45,56.94,60.62,46.35,40.48,42.04,38.27,60.79,50.22,58.06,57.82,59.64,62.72,52.62,64.63,55.52,55.03,46.01,44.37,49.72,50.6,53.88,61.21,60.16,61.15,48.18,66.72,57.36,33.55,31.2,63.11,0
