,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
11.jpg,75.62,75.76,53.61,65.09,52.67,59.18,52.38,62.6,34.07,31.05,0,66.75,71.94,66.75,58.53,67.67,71.62,68.51,76.49,63.35,80.47,53.25,66.89,60.82,59.41,60.62,66.18,66.89,56.1,59.66,70.16,96.23,87.3,57.16,63.77,61.64,58.72,65.72,80.39,61.61
12.jpg,81.84,81.9,48.23,54.08,59.46,58.23,57.99,64.97,62.86,70.44,66.75,0,42.23,35.6,27.47,56.31,57.99,54.33,63.1,57.57,75.77,46.14,69.17,58.63,58.13,57.86,58.32,56.1,47.05,51.6,62.54,84.6,69.61,62.56,57.61,54.83,53.02,48.08,68.44,52.46
13.jpg,84.67,83.84,53.74,62.65,63.18,62.16,64.98,66.27,70.99,74.95,71.94,42.23,0,30.03,31.77,60.45,60.02,55.67,71.29,59.32,75.79,48.25,71.96,59.94,61.72,60.9,54.23,54.6,47.59,53.31,64.72,78.16,72.35,61.1,56.6,55.56,52.04,55.07,67.92,55.45
14.jpg,84.69,82.81,51.1,60.77,57.87,58.17,60.64,65.6,71.3,70.17,66.75,35.6,30.03,0,23.02,53.67,52.84,45.5,72.81,60,76.58,47.32,66.76,59.29,56.71,58.29,56.72,54.2,44.82,51.01,62.3,82.38,70.27,62.88,57.18,54.4,49.9,50.5,66.35,47.75
15.jpg,76.86,75.93,42.36,52.85,50.99,51.17,51.99,58,62.54,62.09,58.53,27.47,31.77,23.02,0,46.91,48.56,43.51,63.26,51.5,68.49,38.76,59.21,52.2,49,51.09,50.93,49,38.38,46.34,57.38,79.05,65.55,56.45,52.4,49.62,43.78,46.33,63.99,40.84
16.jpg,84.57,83.77,55.56,67.47,60.56,63.45,61.84,69.03,72.28,73.64,67.67,56.31,60.45,53.67,46.91,0,25.53,35.65,73.56,59.1,77.99,47.81,68.44,62.16,58.53,59.97,59.07,59.56,47.77,63.35,69.96,81.37,87.66,68.79,61.73,64.33,62.44,63.73,70.87,59.51
17.jpg,84.8,84.69,59.57,69.12,58.11,63.06,65.35,70.76,76.65,77.66,71.62,57.99,60.02,52.84,48.56,25.53,0,34.48,75.93,59.75,76.28,48.31,70.32,64.25,60.57,62.34,56.93,57.52,46.95,63.12,73.48,84.13,89.41,70.61,61.09,64.73,66.58,62.91,72.46,62.52
18.jpg,82.15,81.82,55.31,65.5,60.5,62.04,61.85,68.06,73.73,75.31,68.51,54.33,55.67,45.5,43.51,35.65,34.48,0,73.04,57.45,73.57,45.4,70.08,61.5,59.62,59.2,53.54,55.78,43.56,60.99,72.49,82.48,86.84,67.99,59.52,62.55,60.53,60.99,69.01,58.36
19.jpeg,52.67,59.74,63.18,76.6,71.54,72.65,66.53,65.13,72.56,81.1,76.49,63.1,71.29,72.81,63.26,73.56,75.93,73.04,0,36.84,42.91,49.09,76.18,67.23,70.03,69.24,62.72,66.72,56.15,70.23,81.64,93.87,90.1,72.28,66.66,68.74,68.88,67.66,79.87,69.07
20.jpg,41.85,38.83,49.35,62.85,58.76,60.25,51.61,58.78,64.06,67.08,63.35,57.57,59.32,60,51.5,59.1,59.75,57.45,36.84,0,43.02,30.1,65.38,57.38,57.5,57.01,49.16,53,40.56,56.52,65.7,80.93,80.36,60.7,53.93,51.96,57.28,60.62,68.77,59.09
21.jpg,63.54,61.05,65.68,79.54,76.31,69.71,67.05,70.43,81.47,85.11,80.47,75.77,75.79,76.58,68.49,77.99,76.28,73.57,42.91,43.02,0,45.51,80.65,71.43,73.78,71.73,62.3,69.05,57.39,73.09,85.8,99.38,96.48,76.1,61.1,71.89,74.96,75.28,85.61,75.39
22.jpg,54.02,52.01,39.87,52.61,47.8,48.2,44.2,53.72,54.66,58.93,53.25,46.14,48.25,47.32,38.76,47.81,48.31,45.4,49.09,30.1,45.51,0,54.17,42.68,46.25,44.62,37.35,39.97,26.71,45.73,55.97,74.22,70.25,51,43.64,46.76,44.73,47.62,59.8,45.85
23.jpg,91.23,89.48,62.63,68.35,54.76,62.54,60.42,60.47,71.2,69.97,66.89,69.17,71.96,66.76,59.21,68.44,70.32,70.08,76.18,65.38,80.65,54.17,0,42.6,51.05,47.9,67.99,67.16,56.61,69.14,81.66,97.25,91.77,70.76,61.43,69.59,66.34,66.54,80.25,62.63
24.jpg,83.33,82.11,53.62,61.47,54.15,55.82,54.92,60.29,62.44,66.44,60.82,58.63,59.94,59.29,52.2,62.16,64.25,61.5,67.23,57.38,71.43,42.68,42.6,0,45.3,41.41,57.54,56.52,47.6,59.13,71.42,83.97,75.44,62.82,52.92,57.82,57.9,57.35,68.16,58.07
25.jpg,82.11,81.83,52.66,62.04,54.02,58.55,60.02,63.15,65.84,65.89,59.41,58.13,61.72,56.71,49,58.53,60.57,59.62,70.03,57.5,73.78,46.25,51.05,45.3,0,28.95,57.78,56.41,46.39,59.76,71.93,89.02,82.85,64.86,56.73,60.87,60.33,59.04,75.42,57.02
26.jpg,82.29,80.54,51.21,57.55,48.68,52.94,52.9,56,63.92,67.82,60.62,57.86,60.9,58.29,51.09,59.97,62.34,59.2,69.24,57.01,71.73,44.62,47.9,41.41,28.95,0,56.91,54.73,45.43,58.85,70.93,88.02,81.39,64.39,55.5,60.45,56.56,56.32,69.22,54.88
27.jpg,75.24,71.65,51.1,55.1,55.67,53.93,54.28,63.81,70.06,74.33,66.18,58.32,54.23,56.72,50.93,59.07,56.93,53.54,62.72,49.16,62.3,37.35,67.99,57.54,57.78,56.91,0,24.79,27.54,56.28,70.06,85.29,82.18,62.66,54.09,57.14,56.84,58.94,71.63,60.09
28.jpeg,78.29,77.86,50.95,51.53,49.13,51.19,51.1,60.52,69.57,74.25,66.89,56.1,54.6,54.2,49,59.56,57.52,55.78,66.72,53,69.05,39.97,67.16,56.52,56.41,54.73,24.79,0,24.39,54.17,64.02,81.4,79.41,61.08,49.74,54.34,57.66,55.7,68.22,58.25
29.jpg,65.07,63.78,41.51,52.89,44.92,50.14,48.71,56.1,58.44,62.34,56.1,47.05,47.59,44.82,38.38,47.77,46.95,43.56,56.15,40.56,57.39,26.71,56.61,47.6,46.39,45.43,27.54,24.39,0,46.82,57.19,74.82,70.6,51.17,44.92,46.92,47.71,49.46,61.23,47.68
30.jpg,67.51,64.29,51.12,60.08,61.23,60.38,62.3,65.39,62.2,65.57,59.66,51.6,53.31,51.01,46.34,63.35,63.12,60.99,70.23,56.52,73.09,45.73,69.14,59.13,59.76,58.85,56.28,54.17,46.82,0,42.54,61.69,47.53,35.71,42.26,38.84,47.25,52.64,53.5,55.55
31.jpg,81.2,74.81,59.87,70.27,73.41,68.98,72.74,75.47,64.74,68.45,70.16,62.54,64.72,62.3,57.38,69.96,73.48,72.49,81.64,65.7,85.8,55.97,81.66,71.42,71.93,70.93,70.06,64.02,57.19,42.54,0,64.38,44.33,45.46,56.29,45.66,57.51,68.31,60.66,65.42
32.jpeg,100,93.85,80.61,90.12,91.13,89.95,91.72,90.31,88.16,91.3,96.23,84.6,78.16,82.38,79.05,81.37,84.13,82.48,93.87,80.93,99.38,74.22,97.25,83.97,89.02,88.02,85.29,81.4,74.82,61.69,64.38,0,60.13,67.34,68.3,59.79,71.77,77.9,41.65,78.01
33.jpg,94.53,92.81,73.66,79.61,82.67,79.29,84.73,84.65,79.32,85.05,87.3,69.61,72.35,70.27,65.55,87.66,89.41,86.84,90.1,80.36,96.48,70.25,91.77,75.44,82.85,81.39,82.18,79.41,70.6,47.53,44.33,60.13,0,59.41,64.06,50.85,60.59,66.07,55.97,68.26
34.jpg,72.45,68.68,58.36,67.09,65.97,64.84,67.28,64.96,58.83,61.75,57.16,62.56,61.1,62.88,56.45,68.79,70.61,67.99,72.28,60.7,76.1,51,70.76,62.82,64.86,64.39,62.66,61.08,51.17,35.71,45.46,67.34,59.41,0,43.86,30.02,57.97,65,64.34,63.24
35.jpg,78.13,73.03,49.93,60.54,57.92,53.44,58.5,63.11,65.84,70.24,63.77,57.61,56.6,57.18,52.4,61.73,61.09,59.52,66.66,53.93,61.1,43.64,61.43,52.92,56.73,55.5,54.09,49.74,44.92,42.26,56.29,68.3,64.06,43.86,0,44.96,49.35,55.15,60.21,56.54
36.jpg,67.26,62.66,54.46,62.21,62.84,61.22,63.04,66.06,63.49,59.25,61.64,54.83,55.56,54.4,49.62,64.33,64.73,62.55,68.74,51.96,71.89,46.76,69.59,57.82,60.87,60.45,57.14,54.34,46.92,38.84,45.66,59.79,50.85,30.02,44.96,0,58.59,58.56,55.51,57.25
37.jpg,78.38,73.91,52.99,62.52,55.24,54.79,56.82,62.79,62.89,67.53,58.72,53.02,52.04,49.9,43.78,62.44,66.58,60.53,68.88,57.28,74.96,44.73,66.34,57.9,60.33,56.56,56.84,57.66,47.71,47.25,57.51,71.77,60.59,57.97,49.35,58.59,0,28.02,59.69,31.78
38.jpg,82.56,82.36,55.22,63.53,54.94,55.96,59.36,63.36,64.4,70.92,65.72,48.08,55.07,50.5,46.33,63.73,62.91,60.99,67.66,60.62,75.28,47.62,66.54,57.35,59.04,56.32,58.94,55.7,49.46,52.64,68.31,77.9,66.07,65,55.15,58.56,28.02,0,58.63,32.89
39.jpg,89.85,86.85,68.83,75.52,71.96,71.78,71.59,73.78,79.72,81.49,80.39,68.44,67.92,66.35,63.99,70.87,72.46,69.01,79.87,68.77,85.61,59.8,80.25,68.16,75.42,69.22,71.63,68.22,61.23,53.5,60.66,41.65,55.97,64.34,60.21,55.51,59.69,58.63,0,58.07
40.jpeg,71.02,79.84,43.34,50.89,52.9,54.98,55.51,58.44,65.13,66.04,61.61,52.46,55.45,47.75,40.84,59.51,62.52,58.36,69.07,59.09,75.39,45.85,62.63,58.07,57.02,54.88,60.09,58.25,47.68,55.55,65.42,78.01,68.26,63.24,56.54,57.25,31.78,32.89,58.07,0
